,birdies,bogeys,double_bogeys,eagles,first_name,last_name,pars,position,round,round_score,start_date,strokes,tournament
0,1,0,0,0,Sergio,Garcia,17,1.0,1,-1,2017-04-06,71,Masters Tournament
1,6,3,0,0,Sergio,Garcia,9,1.0,2,-3,2017-04-06,69,Masters Tournament
2,4,2,0,0,Sergio,Garcia,12,1.0,3,-2,2017-04-06,70,Masters Tournament
3,3,2,0,1,Sergio,Garcia,12,1.0,4,-3,2017-04-06,69,Masters Tournament
4,5,4,0,0,Justin,Rose,9,2.0,1,-1,2017-04-06,71,Masters Tournament
5,4,4,0,0,Justin,Rose,10,2.0,2,0,2017-04-06,72,Masters Tournament
6,7,2,0,0,Justin,Rose,9,2.0,3,-5,2017-04-06,67,Masters Tournament
7,5,2,0,0,Justin,Rose,11,2.0,4,-3,2017-04-06,69,Masters Tournament
8,2,4,0,0,Charl,Schwartzel,12,3.0,1,2,2017-04-06,74,Masters Tournament
9,5,5,0,0,Charl,Schwartzel,8,3.0,2,0,2017-04-06,72,Masters Tournament
10,3,1,0,1,Charl,Schwartzel,13,3.0,3,-4,2017-04-06,68,Masters Tournament
11,6,2,0,0,Charl,Schwartzel,10,3.0,4,-4,2017-04-06,68,Masters Tournament
12,6,2,2,0,Thomas,Pieters,8,4.0,1,0,2017-04-06,72,Masters Tournament
13,3,1,0,1,Thomas,Pieters,13,4.0,2,-4,2017-04-06,68,Masters Tournament
14,3,4,1,0,Thomas,Pieters,10,4.0,3,3,2017-04-06,75,Masters Tournament
15,6,2,0,0,Thomas,Pieters,10,4.0,4,-4,2017-04-06,68,Masters Tournament
16,3,3,0,0,Matt,Kuchar,12,4.0,1,0,2017-04-06,72,Masters Tournament
17,2,3,0,0,Matt,Kuchar,13,4.0,2,1,2017-04-06,73,Masters Tournament
18,3,2,0,0,Matt,Kuchar,13,4.0,3,-1,2017-04-06,71,Masters Tournament
19,6,3,0,1,Matt,Kuchar,8,4.0,4,-5,2017-04-06,67,Masters Tournament
20,3,3,0,0,Paul,Casey,12,6.0,1,0,2017-04-06,72,Masters Tournament
21,3,6,0,0,Paul,Casey,9,6.0,2,3,2017-04-06,75,Masters Tournament
22,4,1,0,0,Paul,Casey,13,6.0,3,-3,2017-04-06,69,Masters Tournament
23,6,2,0,0,Paul,Casey,10,6.0,4,-4,2017-04-06,68,Masters Tournament
24,3,3,0,0,Rory,McIlroy,12,7.0,1,0,2017-04-06,72,Masters Tournament
25,4,5,0,0,Rory,McIlroy,9,7.0,2,1,2017-04-06,73,Masters Tournament
26,4,1,1,0,Rory,McIlroy,12,7.0,3,-1,2017-04-06,71,Masters Tournament
27,4,1,0,0,Rory,McIlroy,13,7.0,4,-3,2017-04-06,69,Masters Tournament
28,4,3,0,0,Kevin,Chappell,11,7.0,1,-1,2017-04-06,71,Masters Tournament
29,2,6,0,0,Kevin,Chappell,10,7.0,2,4,2017-04-06,76,Masters Tournament
30,3,3,0,1,Kevin,Chappell,11,7.0,3,-2,2017-04-06,70,Masters Tournament
31,6,2,0,0,Kevin,Chappell,10,7.0,4,-4,2017-04-06,68,Masters Tournament
32,1,3,0,0,Ryan,Moore,14,9.0,1,2,2017-04-06,74,Masters Tournament
33,3,0,0,0,Ryan,Moore,15,9.0,2,-3,2017-04-06,69,Masters Tournament
34,6,3,0,0,Ryan,Moore,9,9.0,3,-3,2017-04-06,69,Masters Tournament
35,4,4,1,0,Ryan,Moore,9,9.0,4,2,2017-04-06,74,Masters Tournament
36,3,6,0,0,Adam,Scott,9,9.0,1,3,2017-04-06,75,Masters Tournament
37,7,2,1,0,Adam,Scott,8,9.0,2,-3,2017-04-06,69,Masters Tournament
38,3,0,0,0,Adam,Scott,15,9.0,3,-3,2017-04-06,69,Masters Tournament
39,3,4,0,0,Adam,Scott,11,9.0,4,1,2017-04-06,73,Masters Tournament
40,1,3,1,0,Hideki,Matsuyama,13,11.0,1,4,2017-04-06,76,Masters Tournament
41,5,1,1,0,Hideki,Matsuyama,11,11.0,2,-2,2017-04-06,70,Masters Tournament
42,1,3,1,1,Hideki,Matsuyama,12,11.0,3,2,2017-04-06,74,Masters Tournament
43,7,2,0,0,Hideki,Matsuyama,9,11.0,4,-5,2017-04-06,67,Masters Tournament
44,3,3,1,0,Brooks,Koepka,11,11.0,1,2,2017-04-06,74,Masters Tournament
45,4,5,0,0,Brooks,Koepka,9,11.0,2,1,2017-04-06,73,Masters Tournament
46,5,4,0,0,Brooks,Koepka,9,11.0,3,-1,2017-04-06,71,Masters Tournament
47,7,2,1,0,Brooks,Koepka,8,11.0,4,-3,2017-04-06,69,Masters Tournament
48,5,4,0,0,Russell,Henley,9,11.0,1,-1,2017-04-06,71,Masters Tournament
49,1,5,0,0,Russell,Henley,12,11.0,2,4,2017-04-06,76,Masters Tournament
50,2,1,0,0,Russell,Henley,15,11.0,3,-1,2017-04-06,71,Masters Tournament
51,4,3,0,1,Russell,Henley,10,11.0,4,-3,2017-04-06,69,Masters Tournament
52,3,2,0,0,Jordan,Spieth,12,11.0,1,3,2017-04-06,75,Masters Tournament
53,5,2,0,0,Jordan,Spieth,11,11.0,2,-3,2017-04-06,69,Masters Tournament
54,5,1,0,0,Jordan,Spieth,12,11.0,3,-4,2017-04-06,68,Masters Tournament
55,4,5,1,0,Jordan,Spieth,8,11.0,4,3,2017-04-06,75,Masters Tournament
56,4,3,1,0,Rickie,Fowler,10,11.0,1,1,2017-04-06,73,Masters Tournament
57,4,1,0,1,Rickie,Fowler,12,11.0,2,-5,2017-04-06,67,Masters Tournament
58,4,3,0,0,Rickie,Fowler,11,11.0,3,-1,2017-04-06,71,Masters Tournament
59,3,7,0,0,Rickie,Fowler,8,11.0,4,4,2017-04-06,76,Masters Tournament
60,2,3,1,0,Steve,Stricker,12,16.0,1,3,2017-04-06,75,Masters Tournament
61,4,5,0,0,Steve,Stricker,9,16.0,2,1,2017-04-06,73,Masters Tournament
62,4,4,0,0,Steve,Stricker,10,16.0,3,0,2017-04-06,72,Masters Tournament
63,4,2,0,1,Steve,Stricker,11,16.0,4,-4,2017-04-06,68,Masters Tournament
64,1,7,1,1,Martin,Kaymer,8,16.0,1,6,2017-04-06,78,Masters Tournament
65,4,0,0,0,Martin,Kaymer,14,16.0,2,-4,2017-04-06,68,Masters Tournament
66,3,3,1,0,Martin,Kaymer,11,16.0,3,2,2017-04-06,74,Masters Tournament
67,8,4,0,0,Martin,Kaymer,6,16.0,4,-4,2017-04-06,68,Masters Tournament
68,6,4,0,0,Lee,Westwood,8,18.0,1,-2,2017-04-06,70,Masters Tournament
69,3,8,0,0,Lee,Westwood,7,18.0,2,5,2017-04-06,77,Masters Tournament
70,6,2,0,0,Lee,Westwood,10,18.0,3,-4,2017-04-06,68,Masters Tournament
71,2,4,0,0,Lee,Westwood,12,18.0,4,2,2017-04-06,74,Masters Tournament
72,4,6,0,0,Pat,Perez,8,18.0,1,2,2017-04-06,74,Masters Tournament
73,2,4,0,0,Pat,Perez,12,18.0,2,2,2017-04-06,74,Masters Tournament
74,5,3,0,0,Pat,Perez,10,18.0,3,-2,2017-04-06,70,Masters Tournament
75,4,3,0,0,Pat,Perez,11,18.0,4,-1,2017-04-06,71,Masters Tournament
76,2,3,0,0,Fred,Couples,13,18.0,1,1,2017-04-06,73,Masters Tournament
77,6,2,1,0,Fred,Couples,9,18.0,2,-2,2017-04-06,70,Masters Tournament
78,3,3,1,0,Fred,Couples,11,18.0,3,2,2017-04-06,74,Masters Tournament
79,4,4,0,0,Fred,Couples,10,18.0,4,0,2017-04-06,72,Masters Tournament
80,2,6,0,0,Jimmy,Walker,10,18.0,1,4,2017-04-06,76,Masters Tournament
81,4,1,1,0,Jimmy,Walker,12,18.0,2,-1,2017-04-06,71,Masters Tournament
82,4,2,0,0,Jimmy,Walker,12,18.0,3,-2,2017-04-06,70,Masters Tournament
83,2,2,0,0,Jimmy,Walker,14,18.0,4,0,2017-04-06,72,Masters Tournament
84,4,1,0,0,William,McGirt,13,22.0,1,-3,2017-04-06,69,Masters Tournament
85,2,3,0,0,William,McGirt,13,22.0,2,1,2017-04-06,73,Masters Tournament
86,2,4,0,0,William,McGirt,12,22.0,3,2,2017-04-06,74,Masters Tournament
87,3,3,1,0,William,McGirt,11,22.0,4,2,2017-04-06,74,Masters Tournament
88,2,3,0,0,Justin,Thomas,13,22.0,1,1,2017-04-06,73,Masters Tournament
89,2,4,1,0,Justin,Thomas,11,22.0,2,4,2017-04-06,76,Masters Tournament
90,3,2,0,0,Justin,Thomas,13,22.0,3,-1,2017-04-06,71,Masters Tournament
91,2,2,0,1,Justin,Thomas,13,22.0,4,-2,2017-04-06,70,Masters Tournament
92,2,2,1,0,Jason,Day,13,22.0,1,2,2017-04-06,74,Masters Tournament
93,3,5,1,0,Jason,Day,9,22.0,2,4,2017-04-06,76,Masters Tournament
94,6,3,0,0,Jason,Day,9,22.0,3,-3,2017-04-06,69,Masters Tournament
95,4,3,0,0,Jason,Day,11,22.0,4,-1,2017-04-06,71,Masters Tournament
96,9,2,0,0,Charley,Hoffman,7,22.0,1,-7,2017-04-06,65,Masters Tournament
97,2,5,0,0,Charley,Hoffman,11,22.0,2,3,2017-04-06,75,Masters Tournament
98,4,2,1,0,Charley,Hoffman,11,22.0,3,0,2017-04-06,72,Masters Tournament
99,3,5,2,0,Charley,Hoffman,8,22.0,4,6,2017-04-06,78,Masters Tournament
100,3,4,0,1,Phil,Mickelson,10,22.0,1,-1,2017-04-06,71,Masters Tournament
101,5,6,0,0,Phil,Mickelson,7,22.0,2,1,2017-04-06,73,Masters Tournament
102,3,3,1,0,Phil,Mickelson,11,22.0,3,2,2017-04-06,74,Masters Tournament
103,3,3,1,1,Phil,Mickelson,10,22.0,4,0,2017-04-06,72,Masters Tournament
104,2,3,0,0,Jon,Rahm,13,27.0,1,1,2017-04-06,73,Masters Tournament
105,4,0,1,0,Jon,Rahm,13,27.0,2,-2,2017-04-06,70,Masters Tournament
106,4,3,1,0,Jon,Rahm,10,27.0,3,1,2017-04-06,73,Masters Tournament
107,2,4,0,1,Jon,Rahm,10,27.0,4,3,2017-04-06,75,Masters Tournament
108,2,5,1,0,Daniel,Berger,10,27.0,1,5,2017-04-06,77,Masters Tournament
109,2,3,0,0,Daniel,Berger,13,27.0,2,1,2017-04-06,73,Masters Tournament
110,2,2,1,1,Daniel,Berger,12,27.0,3,0,2017-04-06,72,Masters Tournament
111,7,2,1,0,Daniel,Berger,8,27.0,4,-3,2017-04-06,69,Masters Tournament
112,4,5,1,0,Brandt,Snedeker,8,27.0,1,3,2017-04-06,75,Masters Tournament
113,3,5,0,0,Brandt,Snedeker,10,27.0,2,2,2017-04-06,74,Masters Tournament
114,3,0,0,0,Brandt,Snedeker,15,27.0,3,-3,2017-04-06,69,Masters Tournament
115,4,5,0,0,Brandt,Snedeker,9,27.0,4,1,2017-04-06,73,Masters Tournament
116,2,4,1,0,Branden,Grace,11,27.0,1,4,2017-04-06,76,Masters Tournament
117,2,6,0,1,Branden,Grace,9,27.0,2,2,2017-04-06,74,Masters Tournament
118,2,1,0,0,Branden,Grace,15,27.0,3,-1,2017-04-06,71,Masters Tournament
119,4,2,0,0,Branden,Grace,12,27.0,4,-2,2017-04-06,70,Masters Tournament
120,0,2,0,0,Brendan,Steele,16,27.0,1,2,2017-04-06,74,Masters Tournament
121,2,3,0,0,Brendan,Steele,13,27.0,2,1,2017-04-06,73,Masters Tournament
122,1,2,1,0,Brendan,Steele,14,27.0,3,3,2017-04-06,75,Masters Tournament
123,7,0,2,0,Brendan,Steele,9,27.0,4,-3,2017-04-06,69,Masters Tournament
124,5,2,1,0,Matthew,Fitzpatrick,10,32.0,1,-1,2017-04-06,71,Masters Tournament
125,2,6,1,0,Matthew,Fitzpatrick,9,32.0,2,6,2017-04-06,78,Masters Tournament
126,3,4,0,0,Matthew,Fitzpatrick,11,32.0,3,1,2017-04-06,73,Masters Tournament
127,5,3,0,0,Matthew,Fitzpatrick,10,32.0,4,-2,2017-04-06,70,Masters Tournament
128,2,4,2,0,Francesco,Molinari,10,33.0,1,6,2017-04-06,78,Masters Tournament
129,3,3,0,0,Francesco,Molinari,12,33.0,2,0,2017-04-06,72,Masters Tournament
130,3,2,0,0,Francesco,Molinari,13,33.0,3,-1,2017-04-06,71,Masters Tournament
131,4,4,0,0,Francesco,Molinari,10,33.0,4,0,2017-04-06,72,Masters Tournament
132,5,4,0,0,Jason,Dufner,9,33.0,1,-1,2017-04-06,71,Masters Tournament
133,3,5,1,0,Jason,Dufner,9,33.0,2,4,2017-04-06,76,Masters Tournament
134,7,3,1,0,Jason,Dufner,7,33.0,3,-2,2017-04-06,70,Masters Tournament
135,2,4,1,0,Jason,Dufner,11,33.0,4,4,2017-04-06,76,Masters Tournament
136,1,2,0,0,Byeong-Hun,An,14,33.0,1,4,2017-04-06,76,Masters Tournament
137,3,4,0,0,Byeong-Hun,An,11,33.0,2,1,2017-04-06,73,Masters Tournament
138,3,3,1,0,Byeong-Hun,An,11,33.0,3,2,2017-04-06,74,Masters Tournament
139,6,4,0,0,Byeong-Hun,An,8,33.0,4,-2,2017-04-06,70,Masters Tournament
140,3,6,0,0,Adam,Hadwin,9,36.0,1,3,2017-04-06,75,Masters Tournament
141,1,1,1,0,Adam,Hadwin,15,36.0,2,2,2017-04-06,74,Masters Tournament
142,3,4,1,0,Adam,Hadwin,10,36.0,3,3,2017-04-06,75,Masters Tournament
143,7,5,0,0,Adam,Hadwin,6,36.0,4,-2,2017-04-06,70,Masters Tournament
144,2,4,0,0,Stewart,Hagestad,12,36.0,1,2,2017-04-06,74,Masters Tournament
145,3,4,0,0,Stewart,Hagestad,11,36.0,2,1,2017-04-06,73,Masters Tournament
146,3,5,0,0,Stewart,Hagestad,10,36.0,3,2,2017-04-06,74,Masters Tournament
147,5,6,0,0,Stewart,Hagestad,7,36.0,4,1,2017-04-06,73,Masters Tournament
148,2,5,0,0,Bill,Haas,11,36.0,1,3,2017-04-06,75,Masters Tournament
149,4,4,0,0,Bill,Haas,10,36.0,2,0,2017-04-06,72,Masters Tournament
150,3,2,0,0,Bill,Haas,13,36.0,3,-1,2017-04-06,71,Masters Tournament
151,1,3,1,0,Bill,Haas,13,36.0,4,4,2017-04-06,76,Masters Tournament
152,2,2,0,0,Soren,Kjeldsen,14,36.0,1,0,2017-04-06,72,Masters Tournament
153,3,4,0,0,Soren,Kjeldsen,11,36.0,2,1,2017-04-06,73,Masters Tournament
154,3,2,0,0,Soren,Kjeldsen,13,36.0,3,-1,2017-04-06,71,Masters Tournament
155,1,5,2,1,Soren,Kjeldsen,9,36.0,4,6,2017-04-06,78,Masters Tournament
156,3,5,0,0,Brian,Stuard,9,36.0,1,5,2017-04-06,77,Masters Tournament
157,3,1,0,0,Brian,Stuard,14,36.0,2,-2,2017-04-06,70,Masters Tournament
158,3,5,0,0,Brian,Stuard,10,36.0,3,2,2017-04-06,74,Masters Tournament
159,2,3,0,0,Brian,Stuard,13,36.0,4,1,2017-04-06,73,Masters Tournament
160,2,3,0,0,Ross,Fisher,12,41.0,1,4,2017-04-06,76,Masters Tournament
161,3,3,1,0,Ross,Fisher,11,41.0,2,2,2017-04-06,74,Masters Tournament
162,0,0,1,0,Ross,Fisher,17,41.0,3,2,2017-04-06,74,Masters Tournament
163,4,3,0,0,Ross,Fisher,11,41.0,4,-1,2017-04-06,71,Masters Tournament
164,3,5,0,0,Louis,Oosthuizen,9,41.0,1,5,2017-04-06,77,Masters Tournament
165,4,3,0,0,Louis,Oosthuizen,11,41.0,2,-1,2017-04-06,71,Masters Tournament
166,2,3,0,0,Louis,Oosthuizen,12,41.0,3,4,2017-04-06,76,Masters Tournament
167,3,0,1,0,Louis,Oosthuizen,14,41.0,4,-1,2017-04-06,71,Masters Tournament
168,3,5,0,0,Kevin,Kisner,10,43.0,1,2,2017-04-06,74,Masters Tournament
169,3,4,1,0,Kevin,Kisner,10,43.0,2,3,2017-04-06,75,Masters Tournament
170,2,4,0,0,Kevin,Kisner,12,43.0,3,2,2017-04-06,74,Masters Tournament
171,3,4,0,0,Kevin,Kisner,11,43.0,4,1,2017-04-06,73,Masters Tournament
172,0,3,1,0,Bernd,Wiesberger,14,43.0,1,5,2017-04-06,77,Masters Tournament
173,5,3,1,0,Bernd,Wiesberger,9,43.0,2,0,2017-04-06,72,Masters Tournament
174,3,3,0,0,Bernd,Wiesberger,11,43.0,3,4,2017-04-06,76,Masters Tournament
175,6,3,1,0,Bernd,Wiesberger,8,43.0,4,-1,2017-04-06,71,Masters Tournament
176,1,2,0,0,Marc,Leishman,15,43.0,1,1,2017-04-06,73,Masters Tournament
177,1,3,0,0,Marc,Leishman,14,43.0,2,2,2017-04-06,74,Masters Tournament
178,1,4,0,0,Marc,Leishman,12,43.0,3,6,2017-04-06,78,Masters Tournament
179,5,2,2,1,Marc,Leishman,8,43.0,4,-1,2017-04-06,71,Masters Tournament
180,3,5,0,0,Daniel,Summerhays,10,46.0,1,2,2017-04-06,74,Masters Tournament
181,1,4,0,0,Daniel,Summerhays,13,46.0,2,3,2017-04-06,75,Masters Tournament
182,2,5,0,0,Daniel,Summerhays,11,46.0,3,3,2017-04-06,75,Masters Tournament
183,3,6,0,1,Daniel,Summerhays,8,46.0,4,1,2017-04-06,73,Masters Tournament
184,1,7,0,0,Curtis,Luck,10,46.0,1,6,2017-04-06,78,Masters Tournament
185,3,3,0,0,Curtis,Luck,12,46.0,2,0,2017-04-06,72,Masters Tournament
186,4,5,1,0,Curtis,Luck,8,46.0,3,3,2017-04-06,75,Masters Tournament
187,5,5,0,0,Curtis,Luck,8,46.0,4,0,2017-04-06,72,Masters Tournament
188,2,3,1,0,James,Hahn,12,48.0,1,3,2017-04-06,75,Masters Tournament
189,1,4,0,0,James,Hahn,13,48.0,2,3,2017-04-06,75,Masters Tournament
190,4,5,1,0,James,Hahn,8,48.0,3,3,2017-04-06,75,Masters Tournament
191,3,4,0,0,James,Hahn,11,48.0,4,1,2017-04-06,73,Masters Tournament
192,4,3,0,0,Andy,Sullivan,11,48.0,1,-1,2017-04-06,71,Masters Tournament
193,0,6,0,0,Andy,Sullivan,12,48.0,2,6,2017-04-06,78,Masters Tournament
194,2,6,0,0,Andy,Sullivan,10,48.0,3,4,2017-04-06,76,Masters Tournament
195,3,4,0,0,Andy,Sullivan,11,48.0,4,1,2017-04-06,73,Masters Tournament
196,4,8,1,0,J.B.,Holmes,5,50.0,1,6,2017-04-06,78,Masters Tournament
197,6,4,1,0,J.B.,Holmes,7,50.0,2,0,2017-04-06,72,Masters Tournament
198,3,4,0,0,J.B.,Holmes,11,50.0,3,1,2017-04-06,73,Masters Tournament
199,2,4,1,0,J.B.,Holmes,11,50.0,4,4,2017-04-06,76,Masters Tournament
200,0,7,0,0,Emiliano,Grillo,11,51.0,1,7,2017-04-06,79,Masters Tournament
201,3,1,0,0,Emiliano,Grillo,14,51.0,2,-2,2017-04-06,70,Masters Tournament
202,4,3,1,0,Emiliano,Grillo,10,51.0,3,1,2017-04-06,73,Masters Tournament
203,3,6,0,0,Emiliano,Grillo,8,51.0,4,6,2017-04-06,78,Masters Tournament
204,1,3,0,0,Larry,Mize,14,52.0,1,2,2017-04-06,74,Masters Tournament
205,1,5,0,0,Larry,Mize,12,52.0,2,4,2017-04-06,76,Masters Tournament
206,0,5,1,0,Larry,Mize,12,52.0,3,7,2017-04-06,79,Masters Tournament
207,1,5,0,0,Larry,Mize,12,52.0,4,4,2017-04-06,76,Masters Tournament
208,4,4,0,0,Ernie,Els,10,53.0,1,0,2017-04-06,72,Masters Tournament
209,2,5,0,0,Ernie,Els,11,53.0,2,3,2017-04-06,75,Masters Tournament
210,1,6,3,0,Ernie,Els,8,53.0,3,11,2017-04-06,83,Masters Tournament
211,2,4,2,0,Ernie,Els,10,53.0,4,6,2017-04-06,78,Masters Tournament
212,4,4,0,0,Billy,Hurley,9,54.0,1,3,2017-04-06,75,Masters Tournament
213,2,4,1,0,Billy,Hurley,11,54.0,2,4,2017-04-06,76,Masters Tournament
214,1,7,0,0,Jim,Furyk,10,54.0,1,6,2017-04-06,78,Masters Tournament
215,4,3,1,0,Jim,Furyk,10,54.0,2,1,2017-04-06,73,Masters Tournament
216,3,5,0,0,Chris,Wood,10,54.0,1,2,2017-04-06,74,Masters Tournament
217,0,3,1,0,Chris,Wood,14,54.0,2,5,2017-04-06,77,Masters Tournament
218,1,5,0,0,Kevin,Na,12,54.0,1,4,2017-04-06,76,Masters Tournament
219,1,4,0,0,Kevin,Na,13,54.0,2,3,2017-04-06,75,Masters Tournament
220,2,2,1,0,Yuta,Ikeda,13,54.0,1,2,2017-04-06,74,Masters Tournament
221,2,7,0,0,Yuta,Ikeda,9,54.0,2,5,2017-04-06,77,Masters Tournament
222,5,5,0,0,Shane,Lowry,8,54.0,1,0,2017-04-06,72,Masters Tournament
223,1,6,1,0,Shane,Lowry,10,54.0,2,7,2017-04-06,79,Masters Tournament
224,2,3,1,1,Danny,Willett,11,54.0,1,1,2017-04-06,73,Masters Tournament
225,1,3,0,0,Danny,Willett,13,54.0,2,6,2017-04-06,78,Masters Tournament
226,2,7,0,0,Zach,Johnson,9,54.0,1,5,2017-04-06,77,Masters Tournament
227,3,5,0,0,Zach,Johnson,10,54.0,2,2,2017-04-06,74,Masters Tournament
228,4,6,0,0,Alexander,Noren,8,62.0,1,2,2017-04-06,74,Masters Tournament
229,0,4,1,0,Alexander,Noren,13,62.0,2,6,2017-04-06,78,Masters Tournament
230,2,4,0,0,Rod,Pampling,12,62.0,1,2,2017-04-06,74,Masters Tournament
231,2,6,1,0,Rod,Pampling,9,62.0,2,6,2017-04-06,78,Masters Tournament
232,1,3,1,0,Russell,Knox,13,62.0,1,4,2017-04-06,76,Masters Tournament
233,3,7,0,0,Russell,Knox,8,62.0,2,4,2017-04-06,76,Masters Tournament
234,1,6,0,0,Henrik,Stenson,11,62.0,1,5,2017-04-06,77,Masters Tournament
235,1,4,1,1,Henrik,Stenson,11,62.0,2,3,2017-04-06,75,Masters Tournament
236,1,4,0,0,Rafael,Cabrera-Bello,13,62.0,1,3,2017-04-06,75,Masters Tournament
237,2,7,0,0,Rafael,Cabrera-Bello,9,62.0,2,5,2017-04-06,77,Masters Tournament
238,4,5,0,0,Scott,Piercy,9,62.0,1,1,2017-04-06,73,Masters Tournament
239,3,6,2,0,Scott,Piercy,7,62.0,2,7,2017-04-06,79,Masters Tournament
240,2,3,1,0,Webb,Simpson,12,62.0,1,3,2017-04-06,75,Masters Tournament
241,3,4,2,0,Webb,Simpson,9,62.0,2,5,2017-04-06,77,Masters Tournament
242,2,6,1,0,Tommy,Fleetwood,9,62.0,1,6,2017-04-06,78,Masters Tournament
243,4,6,0,0,Tommy,Fleetwood,8,62.0,2,2,2017-04-06,74,Masters Tournament
244,3,5,0,0,Bubba,Watson,10,62.0,1,2,2017-04-06,74,Masters Tournament
245,2,8,0,0,Bubba,Watson,8,62.0,2,6,2017-04-06,78,Masters Tournament
246,2,6,1,0,Vijay,Singh,9,71.0,1,6,2017-04-06,78,Masters Tournament
247,2,5,1,1,Vijay,Singh,9,71.0,2,3,2017-04-06,75,Masters Tournament
248,4,5,0,0,Sean,O'Hair,8,71.0,1,4,2017-04-06,76,Masters Tournament
249,1,2,2,0,Sean,O'Hair,13,71.0,2,5,2017-04-06,77,Masters Tournament
250,1,6,0,0,Hudson,Swafford,11,71.0,1,5,2017-04-06,77,Masters Tournament
251,2,4,1,0,Hudson,Swafford,11,71.0,2,4,2017-04-06,76,Masters Tournament
252,1,3,1,0,Patrick,Reed,13,71.0,1,4,2017-04-06,76,Masters Tournament
253,3,8,0,0,Patrick,Reed,7,71.0,2,5,2017-04-06,77,Masters Tournament
254,1,5,1,0,Brad,Dalke,11,71.0,1,6,2017-04-06,78,Masters Tournament
255,3,6,0,0,Brad,Dalke,9,71.0,2,3,2017-04-06,75,Masters Tournament
256,5,6,1,0,Bernhard,Langer,6,71.0,1,3,2017-04-06,75,Masters Tournament
257,2,4,2,0,Bernhard,Langer,10,71.0,2,6,2017-04-06,78,Masters Tournament
258,1,6,0,0,Jose Maria,Olazabal,11,71.0,1,5,2017-04-06,77,Masters Tournament
259,2,4,1,0,Jose Maria,Olazabal,11,71.0,2,4,2017-04-06,76,Masters Tournament
260,1,7,0,0,Jhonattan,Vegas,10,78.0,1,6,2017-04-06,78,Masters Tournament
261,2,6,0,0,Jhonattan,Vegas,10,78.0,2,4,2017-04-06,76,Masters Tournament
262,2,7,1,0,Angel,Cabrera,8,78.0,1,7,2017-04-06,79,Masters Tournament
263,2,2,0,0,Angel,Cabrera,13,78.0,2,3,2017-04-06,75,Masters Tournament
264,2,6,0,0,Ian,Woosnam,10,78.0,1,4,2017-04-06,76,Masters Tournament
265,0,6,0,0,Ian,Woosnam,12,78.0,2,6,2017-04-06,78,Masters Tournament
266,0,3,0,0,Gary,Woodland,15,81.0,1,3,2017-04-06,75,Masters Tournament
267,2,7,0,0,Gary,Woodland,8,81.0,2,8,2017-04-06,80,Masters Tournament
268,1,8,0,0,Trevor,Immelman,9,81.0,1,7,2017-04-06,79,Masters Tournament
269,3,5,1,0,Trevor,Immelman,9,81.0,2,4,2017-04-06,76,Masters Tournament
270,0,4,0,0,Mike,Weir,14,81.0,1,4,2017-04-06,76,Masters Tournament
271,1,8,0,0,Mike,Weir,9,81.0,2,7,2017-04-06,79,Masters Tournament
272,3,6,0,0,Si Woo,Kim,9,84.0,1,3,2017-04-06,75,Masters Tournament
273,0,6,0,0,Si Woo,Kim,11,84.0,2,9,2017-04-06,81,Masters Tournament
274,2,6,0,0,Hideto,Tanihara,10,84.0,1,4,2017-04-06,76,Masters Tournament
275,1,6,0,0,Hideto,Tanihara,10,84.0,2,8,2017-04-06,80,Masters Tournament
276,1,7,0,0,Mark,O'Meara,10,84.0,1,6,2017-04-06,78,Masters Tournament
277,1,7,0,0,Mark,O'Meara,10,84.0,2,6,2017-04-06,78,Masters Tournament
278,2,1,2,0,Jeunghun,Wang,12,84.0,1,6,2017-04-06,78,Masters Tournament
279,3,4,1,0,Jeunghun,Wang,9,84.0,2,6,2017-04-06,78,Masters Tournament
280,1,6,1,0,Roberto,Castro,10,88.0,1,7,2017-04-06,79,Masters Tournament
281,1,7,0,0,Roberto,Castro,10,88.0,2,6,2017-04-06,78,Masters Tournament
282,2,4,1,0,Scott,Gregory,9,88.0,1,10,2017-04-06,82,Masters Tournament
283,1,6,0,1,Scott,Gregory,10,88.0,2,3,2017-04-06,75,Masters Tournament
284,1,7,1,0,Tyrrell,Hatton,9,90.0,1,8,2017-04-06,80,Masters Tournament
285,1,5,1,0,Tyrrell,Hatton,11,90.0,2,6,2017-04-06,78,Masters Tournament
286,1,6,1,0,Mackenzie,Hughes,10,91.0,1,7,2017-04-06,79,Masters Tournament
287,1,7,1,0,Mackenzie,Hughes,9,91.0,2,8,2017-04-06,80,Masters Tournament
288,1,6,0,0,Sandy,Lyle,11,92.0,1,5,2017-04-06,77,Masters Tournament
289,0,4,1,0,Sandy,Lyle,12,92.0,2,11,2017-04-06,83,Masters Tournament
290,1,8,1,0,Toto,Gana,8,93.0,1,9,2017-04-06,81,Masters Tournament
291,2,8,1,0,Toto,Gana,7,93.0,2,8,2017-04-06,80,Masters Tournament
292,6,1,0,1,Jason,Dufner,10,1.0,1,-7,2017-06-01,65,the Memorial Tournament presented by Nationwide
293,5,0,0,1,Jason,Dufner,12,1.0,2,-7,2017-06-01,65,the Memorial Tournament presented by Nationwide
294,3,6,1,0,Jason,Dufner,8,1.0,3,5,2017-06-01,77,the Memorial Tournament presented by Nationwide
295,7,3,0,0,Jason,Dufner,8,1.0,4,-4,2017-06-01,68,the Memorial Tournament presented by Nationwide
